NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),BuildingAge,Energy_per_m2,GHG_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean,GHG_vs_type_mean
2,56228,95.0,1539478.5,55,27.379214981859572,0.0006852457850181405,2.5027955895454208e-05,3092540,1996164.7493421054,56.04810526315789
6,58006,84.0,3663534.5,15,63.157854359893804,0.00155173602730752,2.4569169472813754e-05,870090,3010660.921875,84.3
5,52210,57.0,4456714.5,38,85.3613196705612,0.00246006512162421,2.8819436380768837e-05,1983980,3010660.921875,84.3
2,54986,97.0,1650279.25,26,30.01271687338595,0.000572327501545848,1.9069499904334372e-05,1429636,1996164.7493421054,56.04810526315789
2,94900,57.0,6186461.5,55,65.18926765015806,0.001375763962065332,2.1104148146723292e-05,5219500,2628999.7780914395,34.69634241245136
2,52554,83.0,2951331.25,116,56.15807074628002,0.0015956920500818205,2.8414296090958954e-05,6096264,2628999.7780914395,34.69634241245136
8,59400,14.0,5071974.0,106,85.38676767676768,0.0005952861952861953,6.9716445707332095e-06,6296400,2628999.7780914395,34.69634241245136
7,71150,98.0,5348309.0,31,75.16948699929726,0.0018886858749121575,2.5125698608663036e-05,2205650,3010660.921875,84.3
2,54984,71.0,3375211.0,54,61.38533027789902,0.0016001018478102721,2.6066518508028093e-05,2969136,2628999.7780914395,34.69634241245136
6,63371,74.0,3706100.25,8,58.48259061715927,0.001058212747155639,1.80944916425291e-05,506968,3010660.921875,84.3
2,58320,96.0,1049748.625,87,17.99980495541838,0.0006697530864197531,3.720890798975803e-05,5073840,2274415.943082143,33.59196428571429
4,50283,68.0,3476212.5,46,69.13295746077203,0.0009697114332875922,1.4026760446894429e-05,2313018,2628999.7780914395,34.69634241245136
3,67743,34.0,2646879.0,93,39.072361720030116,0.001163957899709195,2.9789801498292895e-05,6300099,1996164.7493421054,56.04810526315789
3,63681,63.0,4897760.0,13,76.91085253058212,0.0005361096716446035,6.970533468361046e-06,827853,2628999.7780914395,34.69634241245136
3,59955,93.0,1633399.375,27,27.243755733466767,0.0003415895254774414,1.2538268541947986e-05,1618785,1996164.7493421054,56.04810526315789
2,93218,86.0,2887392.0,52,30.974618635885772,0.0009091591752665794,2.935174718223227e-05,4847336,1996164.7493421054,56.04810526315789
4,51390,89.0,3611538.0,15,70.27705779334501,0.002476941039112668,3.524537191634146e-05,770850,3010660.921875,84.3
2,131013,88.0,3894584.5,53,29.726702693625825,0.0009534931648004397,3.207530867541839e-05,6943689,1996164.7493421054,56.04810526315789
3,69138,78.0,3242458.0,14,46.89834823107408,0.0012875697879603113,2.7454480520642053e-05,967932,3010660.921875,84.3
2,55513,93.0,1513570.75,25,27.265158611496407,0.00019004557491038136,6.9702721197539e-06,1387825,1996164.7493421054,56.04810526315789
3,78804,92.0,2499140.0,15,31.713364803817065,0.000721029389371098,2.273582112246613e-05,1182060,1996164.7493421054,56.04810526315789
3,66994,79.0,2371304.5,14,35.39577424844016,0.0006230408693315819,1.760212574977191e-05,937916,1996164.7493421054,56.04810526315789
3,98357,88.0,3456131.5,16,35.13864290289456,0.0009622090954380471,2.7383217334178403e-05,1573712,1996164.7493421054,56.04810526315789
4,102100,89.0,4448582.5,15,43.5708374142997,0.0012672869735553378,2.9085669423911994e-05,1531500,2395087.953125,53.75333333333333
3,62526,96.0,1986094.875,14,31.764304049515403,0.0008647602597319516,2.7224278497773175e-05,875364,1996164.7493421054,56.04810526315789
3,64015,21.0,3242077.75,9,50.645594782472855,0.0007745059751620714,1.5292662244142664e-05,576135,2628999.7780914395,34.69634241245136
3,55442,72.0,3191228.25,20,57.55976065077017,0.0015096857977706431,2.622814585575319e-05,1108840,3669635.28125,56.4375
4,114297,61.0,2100097.75,112,18.374040875963498,0.0006075400054244643,3.306512756370507e-05,12801264,1334609.24919344,29.69568
1,64984,72.0,2944296.25,50,45.308018127539086,0.0005505970700480119,1.2152309741249713e-05,3249200,2274415.943082143,33.59196428571429
1,46797,86.0,2075891.0,58,44.35948885612326,0.0015699724341303929,3.539203166254876e-05,2714226,1996164.7493421054,56.04810526315789
2,67371,92.0,2128459.0,12,31.593103857742946,0.0006881299075269775,2.178101621877612e-05,808452,1996164.7493421054,56.04810526315789
3,127776,75.0,4748137.0,6,37.159850050087655,0.0006267217630853995,1.6865562219455756e-05,766656,1996164.7493421054,56.04810526315789
2,67235,89.0,2284133.75,17,33.97239161151186,0.0007305718747676061,2.1504870281786255e-05,1142995,1996164.7493421054,56.04810526315789
3,58118,97.0,1407277.25,25,24.21413761657318,0.00036632368629340307,1.512850435122148e-05,1452950,1996164.7493421054,56.04810526315789
3,44558,78.0,1677002.25,116,37.63638964944567,0.0006344539701063781,1.6857460984324858e-05,5168728,2628999.7780914395,34.69634241245136
1,71714,87.0,2371358.0,17,33.06687676046518,0.000505340658727724,1.5282382499816563e-05,1219138,1996164.7493421054,56.04810526315789
3,67236,91.0,549181.375,25,8.167966193705753,0.00014322684276280566,1.7535190445961502e-05,1680900,1334609.24919344,29.69568
2,55653,98.0,1377627.0,88,24.75386771602609,0.0013095430614701812,5.290256361119519e-05,4897464,1996164.7493421054,56.04810526315789
5,50759,62.0,3147042.0,44,61.999684784964245,0.0009671191315825765,1.559877497662885e-05,2233396,2628999.7780914395,34.69634241245136
2,56772,46.0,2439484.75,64,42.96985750017614,0.0014896427816529273,3.466715666084815e-05,3633408,997971.7780206897,35.177241379310345
3,75174,77.0,2733846.0,15,36.366908771649776,0.0009559156091201745,2.628531380333786e-05,1127610,1996164.7493421054,56.04810526315789
3,75214,88.0,2334260.0,13,31.034913712872605,0.0005847315659318743,1.8841088824723894e-05,977782,1996164.7493421054,56.04810526315789
3,134918,91.0,3822102.5,11,28.32907766198728,0.0005145347544434398,1.8162778209113964e-05,1484098,1996164.7493421054,56.04810526315789
2,64414,67.0,2295176.5,25,35.63164063712858,0.0002483932064458037,6.971141435092247e-06,1610350,1996164.7493421054,56.04810526315789
4,56500,98.0,1380293.625,102,24.429975663716814,0.0007826548672566372,3.203666176462997e-05,5763000,2628999.7780914395,34.69634241245136
4,59158,57.0,5007401.0,35,84.64452821258325,0.0011526758849183542,1.3617842868985328e-05,2070530,2628999.7780914395,34.69634241245136
5,73399,61.0,3757006.0,100,51.18606520524803,0.00035681685036580884,6.9709763572376515e-06,7339900,2628999.7780914395,34.69634241245136
7,89550,85.0,3903259.75,116,43.58749022892239,0.000576996091568956,1.3237653476687019e-05,10387800,2628999.7780914395,34.69634241245136
6,89355,66.0,4178233.5,116,46.759929494712104,0.0003577863577863578,7.651558966247339e-06,10365180,2628999.7780914395,34.69634241245136
8,94948,81.0,3743228.5,48,39.423984707418796,0.0002748873067363188,6.97259063933714e-06,4557504,2628999.7780914395,34.69634241245136
7,106099,99.0,2746560.75,107,25.88677320238645,0.0006613634435762826,2.5548315288493074e-05,11352593,2628999.7780914395,34.69634241245136
2,89200,83.0,6461937.0,38,72.4432399103139,0.0010030269058295964,1.3845693636443685e-05,3389600,2274415.943082143,33.59196428571429
6,90803,88.0,4426136.0,14,48.744380692267875,0.00033985661266698234,6.972221368706249e-06,1271242,2628999.7780914395,34.69634241245136
5,137929,93.0,7046345.5,14,51.08675840468647,0.0003561252528474795,6.9709894299108665e-06,1931006,2628999.7780914395,34.69634241245136
5,50176,77.0,2933288.75,116,58.459995814732146,0.000496452487244898,8.492174525948051e-06,5820416,2628999.7780914395,34.69634241245136
1,128800,97.0,1809101.5,39,14.045819099378882,0.0006127329192546585,4.362386521707047e-05,5023200,1334609.24919344,29.69568
1,52311,96.0,930611.875,56,17.789984420102847,0.0009300147196574334,5.227743305983496e-05,2929416,1334609.24919344,29.69568
5,106465,60.0,5803409.0,15,54.51001737660264,0.00038003099610200536,6.971764354364823e-06,1596975,2628999.7780914395,34.69634241245136
1,52500,2.0,3989399.0,43,75.98855238095238,0.0013422857142857143,1.766431485043236e-05,2257500,1334609.24919344,29.69568
4,79957,25.0,5252131.0,102,65.68694423252498,0.00045787110571932413,6.970503972577987e-06,8155614,2274415.943082143,33.59196428571429
6,96630,45.0,7335905.5,32,75.91747386939873,0.0005292352271551278,6.971191218316539e-06,3092160,2628999.7780914395,34.69634241245136
4,63540,72.0,3518459.5,110,55.37392980799496,0.0011776833490714511,2.1267830424081904e-05,6989400,2628999.7780914395,34.69634241245136
4,70000,72.0,4549892.0,17,64.99845714285715,0.00045314285714285714,6.971594051023629e-06,1190000,2628999.7780914395,34.69634241245136
4,52800,83.0,2429021.0,91,46.00418560606061,0.0008424242424242424,1.8311904261017093e-05,4804800,2628999.7780914395,34.69634241245136
1,123061,59.0,1987934.625,15,16.154058759477007,0.0001126270711273271,6.972060260784481e-06,1845915,1334609.24919344,29.69568
1,59090,45.0,2756214.75,53,46.644351836182096,0.0019818920291081402,4.24894322911522e-05,3131770,1418871.6024444446,33.09
1,106000,93.0,763364.5,53,7.201551886792453,5.018867924528302e-05,6.9691477662374925e-06,5618000,1334609.24919344,29.69568
1,119661,97.0,775729.1875,56,6.482723589975013,4.5461762813280854e-05,7.012756626486998e-06,6701016,1418871.6024444446,33.09
7,94472,81.0,4342597.0,15,45.96702726733847,0.00032041239732407485,6.970483330596875e-06,1417080,2628999.7780914395,34.69634241245136
6,61800,95.0,3063504.5,32,49.571270226537216,0.000345631067961165,6.972406928078611e-06,1977600,2628999.7780914395,34.69634241245136
5,74880,56.0,5134607.5,42,68.57114716880342,0.00047809829059829054,6.972295350715707e-06,3144960,2628999.7780914395,34.69634241245136
6,88774,53.0,6029121.5,37,67.91539752630274,0.00047344943339266,6.971164870371248e-06,3284638,2628999.7780914395,34.69634241245136
5,122250,93.0,5535626.0,33,45.28119427402863,0.00031566462167689167,6.971207953716527e-06,4034250,2628999.7780914395,34.69634241245136
4,53730,20.0,4742869.0,37,88.27226875116322,0.0006152987158012284,6.97046450154959e-06,1988010,2628999.7780914395,34.69634241245136
3,55593,55.0,4224872.5,56,75.99648337020848,0.0016770096954652565,2.2066938114700503e-05,3113208,2628999.7780914395,34.69634241245136
4,73096,54.0,4695139.0,34,64.23250246251504,0.00044776731968917586,6.971039622043138e-06,2485264,2628999.7780914395,34.69634241245136
4,58195,81.0,2991674.75,31,51.407762694389554,0.00035845003866311536,6.972683110020566e-06,1804045,2628999.7780914395,34.69634241245136
5,118248,95.0,5671256.0,7,47.96069278127326,0.00034224680332859753,7.135985397238283e-06,827736,2628999.7780914395,34.69634241245136
6,86700,96.0,3238216.0,12,37.34966551326413,0.00026032295271049595,6.9698871230331765e-06,1040400,2628999.7780914395,34.69634241245136
5,127800,56.0,2767491.0,102,21.65485915492958,0.00023106416275430361,1.067031473634422e-05,13035600,1334609.24919344,29.69568
4,136143,97.0,6917478.5,10,50.81038687262657,0.000901111331467648,1.7734785876096325e-05,1361430,2628999.7780914395,34.69634241245136
3,67380,66.0,2755829.0,62,40.8998070644108,0.0010997328584149597,2.6888460786209882e-05,4177560,1334609.24919344,29.69568
5,67236,80.0,3415561.25,42,50.799590249271226,0.0003541257659587126,6.971035872947674e-06,2823912,2628999.7780914395,34.69634241245136
5,66762,69.0,3632613.75,44,54.41139795093017,0.0003792576615439921,6.970187788338356e-06,2937528,2628999.7780914395,34.69634241245136
5,66762,86.0,3493093.75,46,52.32158638147449,0.0003647284383331836,6.970897932527577e-06,3071052,2628999.7780914395,34.69634241245136
5,66400,75.0,3484915.5,45,52.4836671686747,0.0003658132530120482,6.970039876146208e-06,2988000,2628999.7780914395,34.69634241245136
4,98475,83.0,1090496.625,19,11.07384234577304,0.0002278750952018279,2.0577780330131698e-05,1871025,1334609.24919344,29.69568
1,63225,100.0,6522551.5,8,103.16412020561486,0.0007191775405298537,6.971198310967724e-06,505800,5155351.229166667,61.555
3,94400,38.0,784364.5,17,8.308945974576272,0.00010847457627118644,1.3055154841913422e-05,1604800,1334609.24919344,29.69568
3,95426,73.0,4991360.5,28,52.30608534361704,0.0003657284178316182,6.992081617827444e-06,2671928,2628999.7780914395,34.69634241245136
4,53472,84.0,3897738.0,16,72.89306552962299,0.0005081163973668462,6.9707096782800695e-06,855552,2628999.7780914395,34.69634241245136
3,62332,70.0,5413418.0,15,86.84813578900084,0.000605467496630944,6.971565838810157e-06,934980,2628999.7780914395,34.69634241245136
2,90000,87.0,1429146.375,49,15.879404166666667,0.0001907777777777778,1.2014164749219618e-05,4410000,1334609.24919344,29.69568
2,63240,100.0,227566.7031,75,3.5984614658444025,0.00012887413029728022,3.581367523885352e-05,4743000,1334609.24919344,29.69568
4,106041,94.0,1123943.0,19,10.599136183174432,0.00024122744975999848,2.2759161274192728e-05,2014779,1334609.24919344,29.69568
1,22780,33.0,402051.3125,50,17.649311347673397,0.00012291483757682177,6.96428518685659e-06,1139000,1334609.24919344,29.69568
1,50065,72.0,1529510.25,49,30.550489363827026,0.000851892539698392,2.7884742844972762e-05,2453185,1418871.6024444446,33.09
1,57540,26.0,2582687.0,47,44.885071254779284,0.001332638164754953,2.9690008893838088e-05,2704380,1418871.6024444446,33.09
1,85400,49.0,1536998.25,50,17.997637587822013,0.00012552693208430914,6.974633835789989e-06,4270000,1334609.24919344,29.69568
1,55700,63.0,519806.0938,50,9.3322458491921,6.499102333931777e-05,6.964135363508892e-06,2785000,1334609.24919344,29.69568
1,53250,96.0,1794187.25,52,33.6936572769953,0.0008813145539906103,2.6156690167093762e-05,2769000,2628999.7780914395,34.69634241245136
6,50245,98.0,2179719.75,29,43.38182406209573,0.0005698079410886655,1.3134716056960992e-05,1457105,2628999.7780914395,34.69634241245136
3,64660,89.0,325513.0,30,5.034225177853387,9.774203526136715e-05,1.9415507214765617e-05,1939800,1334609.24919344,29.69568
1,52613,80.0,1061458.25,36,20.174828464447952,0.0006085948339763938,3.0166047510582734e-05,1894068,1418871.6024444446,33.09
2,62220,32.0,5444253.5,102,87.500056252009,0.0006195756991321118,7.0808605807940426e-06,6346440,2628999.7780914395,34.69634241245136
1,65430,89.0,3181045.5,46,48.61753782668501,0.001379183860614397,2.8368031831044226e-05,3009780,2628999.7780914395,34.69634241245136
3,59850,26.0,6062770.5,10,101.29942355889725,0.0008215538847117795,8.110153600569245e-06,598500,2628999.7780914395,34.69634241245136
2,98024,94.0,1988334.5,27,20.28416000163225,0.00043101689382192115,2.1248939753346332e-05,2646648,1418871.6024444446,33.09
5,77953,62.0,5135040.0,26,65.87353918386721,0.00045925108719356534,6.9717081074344106e-06,2026778,2628999.7780914395,34.69634241245136
6,86483,56.0,6361236.5,35,73.5547622076015,0.000512817547957402,6.971914972820143e-06,3026905,2628999.7780914395,34.69634241245136
1,51600,75.0,1124543.125,40,21.793471414728682,0.0004282945736434109,1.965242551280548e-05,2064000,1418871.6024444446,33.09
1,140520,61.0,2225512.0,48,15.837688585254767,0.0004108311984059208,2.5940098278508496e-05,6744960,1334609.24919344,29.69568
5,91649,95.0,4636396.5,30,50.58862071599253,0.0006424510905738198,1.2699517825966783e-05,2749470,2628999.7780914395,34.69634241245136
1,50417,14.0,1847401.0,36,36.642422198861496,0.0011636947854890215,3.175812939367252e-05,1815012,1334609.24919344,29.69568
4,104500,91.0,6486377.5,16,62.0705980861244,0.0004327272727272727,6.971533802958585e-06,1672000,2628999.7780914395,34.69634241245136
2,104786,93.0,1028376.875,47,9.814067480388601,0.0002277021739545359,2.320161079079107e-05,4924942,1334609.24919344,29.69568
1,53620,86.0,2058955.25,68,38.399016225289074,0.00041253263707571804,1.0743312658203718e-05,3646160,2628999.7780914395,34.69634241245136
1,50008,62.0,3202213.0,78,64.03401455767077,0.0013057910734282515,2.039214755545618e-05,3900624,2628999.7780914395,34.69634241245136
1,50832,63.0,2551022.25,59,50.185360599622285,0.002108120868744098,4.200668967117006e-05,2999088,1334609.24919344,29.69568
1,76354,70.0,2843033.5,45,37.234899284909766,0.0002657359142939466,7.13674320052859e-06,3435930,1504418.3375,20.136
1,98480,65.0,2831565.5,60,28.75269597887896,0.0004010966693744923,1.3949880375361262e-05,5908800,1334609.24919344,29.69568
2,53002,75.0,3441643.25,112,64.93421474661334,0.0012075016037130675,1.8595768169754376e-05,5936224,2274415.943082143,33.59196428571429
7,94002,70.0,5662234.0,46,60.23525031382311,0.0004198846833046105,6.970746881884429e-06,4324092,2628999.7780914395,34.69634241245136
1,93020,60.0,1252323.875,42,13.462952859600087,9.385078477746722e-05,6.97104013927707e-06,3906840,1334609.24919344,29.69568
5,78920,88.0,2830674.75,112,35.86764761784085,0.00025,6.970069592064578e-06,8839040,2628999.7780914395,34.69634241245136
7,99440,64.0,6606832.5,110,66.44039119066774,0.0013544851166532581,2.038647112667076e-05,10938400,2628999.7780914395,34.69634241245136
6,73260,82.0,2853189.5,109,38.94607562107562,0.0002714987714987715,6.971145800165044e-06,7985340,2628999.7780914395,34.69634241245136
4,69817,87.0,2178074.5,116,31.19690762994686,0.0011000186201068508,3.526050187906796e-05,8098772,2628999.7780914395,34.69634241245136
6,73470,83.0,3212269.0,107,43.72218592622839,0.0003047502381924595,6.9701510054108176e-06,7861290,2628999.7780914395,34.69634241245136
3,56700,37.0,2371575.0,106,41.826719576719576,0.0005569664902998236,1.3316045244194258e-05,6010200,2628999.7780914395,34.69634241245136
1,82852,83.0,2153603.5,94,25.99337976150244,0.0007912904938927244,3.0442001046153575e-05,7788088,1334609.24919344,29.69568
2,92792,56.0,3155496.0,54,34.006121217346326,0.0007994223639968964,2.350819015457475e-05,5010768,1418871.6024444446,33.09
4,103200,80.0,4374646.0,116,42.389980620155036,0.0002955426356589147,6.971992705238321e-06,11971200,2628999.7780914395,34.69634241245136
1,78814,69.0,861972.875,62,10.936798982414292,0.00020909990610805187,1.911893109165413e-05,4886468,1334609.24919344,29.69568
6,64800,15.0,2688675.75,106,41.491909722222225,0.00028919753086419753,6.969973973246867e-06,6868800,1418871.6024444446,33.09
4,66842,31.0,5608600.5,112,83.90832859579307,0.0020698064091439513,2.4667472750109407e-05,7486304,2628999.7780914395,34.69634241245136
6,64488,81.0,2891605.0,107,44.83942749038581,0.00031292643592606374,6.978823179514491e-06,6900216,2628999.7780914395,34.69634241245136
3,60592,16.0,5049446.5,86,83.33520101663586,0.0007798059149722736,9.357461258377527e-06,5210912,2628999.7780914395,34.69634241245136
1,107930,57.0,7221482.5,23,66.90894561289724,0.0009304178634300009,1.390573196016192e-05,2482390,2274415.943082143,33.59196428571429
1,99084,83.0,1618110.375,90,16.330692896935933,0.0004970530055306609,3.0436737048917322e-05,8917560,1334609.24919344,29.69568
1,72719,28.0,2581741.75,63,35.502987527331236,0.0005877418556360786,1.6554715435809954e-05,4581297,1418871.6024444446,33.09
1,56572,66.0,2409429.0,43,42.59048645973273,0.001189457682245634,2.7927778739278065e-05,2432596,2274415.943082143,33.59196428571429
7,94500,68.0,5792926.0,29,61.30080423280423,0.00042730158730158735,6.9705706580750385e-06,2740500,2247036.2352941176,32.411764705882355
6,56700,55.0,3065954.5,116,54.07327160493827,0.00037689594356261024,6.970096914354078e-06,6577200,2628999.7780914395,34.69634241245136
4,72000,89.0,2729167.75,91,37.905107638888886,0.0003261111111111111,8.603355363553597e-06,6552000,2628999.7780914395,34.69634241245136
4,96254,93.0,5101504.5,16,53.00044154009184,0.0003694391921374696,6.9704927242541885e-06,1540064,2628999.7780914395,34.69634241245136
5,98668,91.0,4391348.0,34,44.50630396886528,0.00031023229415818703,6.9705247682488384e-06,3354712,2628999.7780914395,34.69634241245136
1,50660,51.0,2661488.0,38,52.536281089617056,0.0011981839715752072,2.2806790787709734e-05,1925080,2274415.943082143,33.59196428571429
2,61929,59.0,2203026.5,79,35.57342279061506,0.0008999015001049589,2.529701753474141e-05,4892391,2628999.7780914395,34.69634241245136
3,20565,65.0,802312.5,91,39.01349380014588,0.00027182105519085823,6.967359975072057e-06,1871415,2628999.7780914395,34.69634241245136
5,103966,63.0,7857972.5,16,75.58213742954428,0.0005269030259892658,6.971263897907507e-06,1663456,2628999.7780914395,34.69634241245136
5,129362,95.0,5514308.5,30,42.62695768463691,0.0009024288430914797,2.117037884260556e-05,3880860,2628999.7780914395,34.69634241245136
6,112560,86.0,4946798.5,106,43.94810323383084,0.000869047619047619,1.9774405607990704e-05,11931360,2628999.7780914395,34.69634241245136
6,86204,89.0,3241917.0,106,37.60750081202728,0.0008006589021391118,2.1289872627831003e-05,9137624,3241917.0,69.02
1,110613,95.0,1015060.188,56,9.176680751810366,6.400694312603401e-05,6.97495585355378e-06,6194328,1418871.6024444446,33.09
3,98220,12.0,6468090.0,65,65.85308491142334,0.0007665444919568317,1.16402214564114e-05,6384300,1334609.24919344,29.69568
1,84420,55.0,2848317.25,46,33.73983949301113,0.00023525230987917555,6.972537908128035e-06,3883320,1418871.6024444446,33.09
1,111908,87.0,1555420.25,29,13.89909791971977,0.00030507202344783215,2.1949052032722348e-05,3245332,1418871.6024444446,33.09
4,71037,5.0,4817062.0,15,67.81060574067035,0.000472711403916269,6.971054140469854e-06,1065555,2628999.7780914395,34.69634241245136
2,51374,33.0,5481549.0,16,106.6988943823724,0.000743761435745708,6.970657381699954e-06,821984,2628999.7780914395,34.69634241245136
5,110524,57.0,6859198.0,18,62.060710795845246,0.0004326662082443632,6.971660535240417e-06,1989432,2628999.7780914395,34.69634241245136
5,84210,85.0,4750799.0,42,56.41609072556704,0.000772236076475478,1.3688223812457652e-05,3536820,2628999.7780914395,34.69634241245136
4,78920,80.0,8303666.5,87,105.21625063355296,0.0013919158641662443,1.322909584579294e-05,6866040,2274415.943082143,33.59196428571429
7,43983,93.0,5177270.5,37,117.71071777732305,0.002481867994452402,2.1084469123257127e-05,1627371,2628999.7780914395,34.69634241245136
3,83118,59.0,2443141.5,76,29.39365119468707,0.0003347048774032099,1.1386978609302818e-05,6316968,2274415.943082143,33.59196428571429
3,77555,39.0,7802205.5,92,100.60222422796726,0.0007014376893817291,6.972387487102204e-06,7135060,2274415.943082143,33.59196428571429
6,51218,57.0,2886141.5,107,56.3501405755789,0.00039283064547619977,6.97124517283716e-06,5480326,2628999.7780914395,34.69634241245136
7,122356,91.0,4585070.5,106,37.47319706430416,0.00034162607473274705,9.116544663817055e-06,12969736,2628999.7780914395,34.69634241245136
3,52298,89.0,1968655.125,95,37.643028892118245,0.0002623427282114039,6.969224739147747e-06,4968310,2628999.7780914395,34.69634241245136
6,81300,83.0,4052720.0,106,49.848954489544894,0.0003865928659286593,7.755285339228963e-06,8617800,2628999.7780914395,34.69634241245136
6,62370,30.0,4353025.0,109,69.79357062690396,0.00048661215327881996,6.972163036049644e-06,6798330,2628999.7780914395,34.69634241245136
1,73296,83.0,2356376.75,56,32.148776877319364,0.0010038746998471948,3.1225906468479624e-05,4104576,1334609.24919344,29.69568
1,115620,11.0,1951856.25,50,16.881648936170212,0.00011771319840857982,6.972849563076174e-06,5781000,1334609.24919344,29.69568
1,71718,100.0,151754.2969,47,2.115986180596224,1.4780110990267437e-05,6.9849751977599535e-06,3370746,1418871.6024444446,33.09
1,55450,31.0,4345698.0,47,78.37146979260595,0.0023740306582506763,3.029202673540591e-05,2606150,1334609.24919344,29.69568
